127.0.0.1, 2016-02-08 17:41:01, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-08 17:41:01, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-08 17:41:01, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-08 17:41:01, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:41:01, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-08 17:41:01, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:41:01, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:41:01, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-08 17:41:01, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-08 17:41:01, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:41:01, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:41:01, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-14 14:35:30, GET, /, HTTP/1.1, 200, 3.676000
127.0.0.1, 2016-02-14 14:35:31, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.352000
127.0.0.1, 2016-02-14 14:35:31, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.368000
127.0.0.1, 2016-02-14 14:35:31, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.376000
127.0.0.1, 2016-02-14 14:35:32, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.380000
127.0.0.1, 2016-02-14 14:35:32, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 304, 0.472000
127.0.0.1, 2016-02-14 14:35:32, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 304, 0.136000
127.0.0.1, 2016-02-14 14:35:32, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.104000
127.0.0.1, 2016-02-14 14:35:32, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 304, 0.112000
127.0.0.1, 2016-02-14 14:35:32, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.188000
127.0.0.1, 2016-02-14 14:35:32, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 304, 0.196000
127.0.0.1, 2016-02-14 14:35:32, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 304, 0.200000
127.0.0.1, 2016-02-14 14:35:34, GET, /MoodlePlus/static/images/favicon.ico, HTTP/1.1, 200, 0.041000
127.0.0.1, 2016-02-14 14:35:38, GET, /user/login, HTTP/1.1, 200, 0.156000
127.0.0.1, 2016-02-14 14:35:47, POST, /user/login, HTTP/1.1, 303, 0.352000
127.0.0.1, 2016-02-14 14:35:47, GET, /, HTTP/1.1, 200, 0.088000
127.0.0.1, 2016-02-14 14:35:48, GET, /MoodlePlus/static/images/background.jpg, HTTP/1.1, 304, 0.032000
127.0.0.1, 2016-02-14 14:35:52, GET, /courses/course/col740, HTTP/1.1, 200, 0.172000
127.0.0.1, 2016-02-14 14:35:59, GET, /courses/course/csl732, HTTP/1.1, 200, 0.124000
127.0.0.1, 2016-02-14 14:36:01, GET, /courses/course/col740, HTTP/1.1, 200, 0.236000
127.0.0.1, 2016-02-14 14:36:02, GET, /default/grades, HTTP/1.1, 200, 0.088000
127.0.0.1, 2016-02-14 14:36:04, GET, /default/notifications, HTTP/1.1, 200, 0.144000
127.0.0.1, 2016-02-14 14:36:06, GET, /courses/course/col740, HTTP/1.1, 200, 0.112000
127.0.0.1, 2016-02-14 14:36:08, GET, /courses/course/col740/assignments, HTTP/1.1, 200, 0.120000
127.0.0.1, 2016-02-14 14:36:10, GET, /courses/course/col740/resources, HTTP/1.1, 200, 0.080000
127.0.0.1, 2016-02-14 14:36:13, GET, /courses/course/col740/threads, HTTP/1.1, 200, 0.072000
127.0.0.1, 2016-02-14 14:36:28, GET, /threads/new.json, HTTP/1.1, 200, 0.629000
127.0.0.1, 2016-02-14 14:36:28, GET, /courses/course/col740/threads, HTTP/1.1, 200, 0.112000
127.0.0.1, 2016-02-14 14:36:31, GET, /courses/course/col740/overview, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-14 14:36:43, GET, /courses/course/col740/threads, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-02-14 14:36:47, GET, /threads/thread/1, HTTP/1.1, 200, 0.088000
127.0.0.1, 2016-02-14 14:36:47, GET, /static/images/profile.png, HTTP/1.1, 200, 0.030000
127.0.0.1, 2016-02-14 14:36:47, GET, /MoodlePlus/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.041000
127.0.0.1, 2016-02-14 14:36:47, GET, /threads/comments.json, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-02-14 14:36:52, GET, /threads/comments.json, HTTP/1.1, 200, 0.078000
127.0.0.1, 2016-02-14 14:36:55, GET, /courses/course/col740/threads, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-02-14 14:36:57, GET, /courses/course/col740/grades, HTTP/1.1, 200, 0.104000
127.0.0.1, 2016-02-14 14:37:00, GET, /courses/course/col740/overview, HTTP/1.1, 200, 0.112000
127.0.0.1, 2016-02-14 14:37:06, GET, /user/logout, HTTP/1.1, 303, 0.200000
127.0.0.1, 2016-02-14 14:37:06, GET, /, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-02-14 14:37:09, GET, /user/login, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-14 14:37:44, POST, /user/login, HTTP/1.1, 303, 0.352000
127.0.0.1, 2016-02-14 14:37:44, GET, /, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-14 14:37:47, GET, /courses/course/col740, HTTP/1.1, 200, 0.068000
